ver,曲名,BPM,notes,属性,詳細攻略

16,Punch Love ♥ 仮面(A),172,1269,序盤発狂,

5,QQQ(A),155,1091,乱打、同時押し、縦連打、中盤発狂,

24,Quakes(H),190,1080,,忍々七鍵伝

19,QUANTUM TELEPORTATION(H),152,1216,乱打,Lincle Kingdom移植曲

16,Queens Tragedy(A),152,1135,小階段,

9,Quickening(A),150,1062,階段、中盤発狂、トリル、HARD核地雷,SP八段(SB)

12,rage against usual(H),152,1060,階段、皿、中盤発狂,

20,Rainbow after snow(A),130,1090,,Café de Tran

10,rainbow rainbow(H),177,1156,同時押し、乱打、シンメトリー,

27,Rainstorm(A),140,1146,,

18,Raise your hands(A),183,1135,皿、トリル、同時押し,

17,Raison d'être～交差する宿命～(H),155-175,1184,ソフラン、階段、皿絡み,

25,Rampage(H),195,1257,,激走!キャノンレーサー

25,Raspberry Railgun(H),142,1155,,IIDX AIR RACE

27,Rave Patroller(H),175,1189,,HEROIC WORKOUT!!

20,Re:GENERATION(A),176,1145,乱打、皿、トリル,

9,Really Love(A),100,898,低速、ズレ押し、皿絡み、HARD地雷,

17,Red. by Full Metal Jacket(H),158,1062,連皿、HARD地雷,

26,Red. by Jack Trance(H),160,1122,連皿,ARC SCORE

23,refrain(H),158,1208,階段,

5,Regulus(A),120-128,881,階段、同時押し、皿、ズレ,

19,Release The Music(A),146,1081,CN、皿、縦連,

24,Remedy feat. Kanae Asaba(A),165,1116,,

15,REMINISCENCE(A),171,1183,トリル,

26,REPLAY(A),140,1141,乱打,

19,RESISTANCE(A),184,1198,同時押し、皿,デイリースタンプ解禁曲

11,RESONATE 1794(H),160,745,階段、螺旋発狂,

21,RISE(A),182,951,CN,ミスによる譜面修正(PENDUAL、ランプ引継)

10,Rise'n Beauty(A),144,1094,乱打、トリル,

16,RIZING YOU UP(A),177,1295,トリル、連皿,SPADAでACに移植

6,rottel-da-sun(A),200,936,同時押し、皿,

9,rottel-the-Mercury(A),200,1137,同時押し、皿,

14,Roulette(A),160,1073,トリル,

28,Rowdy(A),100,1256,CN,

28,Rub-a Dub-a(A),176,1102,,

26,ruin of opals(H),220-390(360),1016,ソフラン,DELABITY LABORATORY FLOOR 2

20,rumrum triplets(H),192,1029,階段,LEGEND CROSS BOSS

19,SA.YO.NA.RA. SUPER STAR(A),85-170,868,BSS、ソフラン,追加配信曲

22,SAMSARA(A),164,1031,,

20,Saturn(H),155,1040,同時、乱打,ぼくらの宇宙戦争、CS移植曲

12,SCREAM SQUAD(H),220,869,皿絡み、トリル、ラスト殺し,

12,Scripted Connection⇒ A mix(H),151,1155,階段、トリル,

12,Scripted Connection⇒ H mix(H),151,1059,乱打、縦連打,

12,Scripted Connection⇒ N mix(A),151,1073,階段、縦連打,

27,Sellout(A),174,1058,,注目のEDMアーティストの楽曲が登場

23,Sephirot(A),154,1193,,EXPERT MODE

24,SEQUENCE CAT(H),145,1128,,

26,Serious?(A),150,1142,連皿,

18,Session 9 -Chronicles-(H),182-189,1238,階段・乱打,

23,Set U Free feat. Kanae Asaba(A),140,1290,トリル、中盤発狂、難地雷,

19,Several Words(A),180,1098,CN,

17,She is my wife(A),85-170,1002,ソフラン、トリル、階段、ムービー殺し,

20,SHION(A),179,1359,,みんなで宇宙戦争

22,Shooting Fireball(H),160,1181,,

24,shuriken(A),160,1298,,

21,Sigmund(H),200,1228,,

12,SigSig(A),179,1309,乱打、皿、中盤発狂、ラス殺し,

27,Silly Love(A),124-153,1061,ソフラン,

24,SINOBUZ Fantasy(A),190,1228,,

27,Ska-sh All Neutrons!!(A),183,1176,,

24,Sky High(H),153,,,攻城シノバズ伝

27,Smashing Wedge(H),215,1141,,HEROIC WORKOUT!!

16,smooooch･∀･(A),177,1089,同時押し、小階段,

28,smooooch・∀・ (Snail's House Remix)(A),177,1193,CN,Tribute BEST収録楽曲

19,Snake Stick(H),145,1067,連皿、皿複合,Lincle追加配信曲、SP八段(TR)

24,Snakey Kung-fu(H),156,,,BUZRA ARTS

9,SNOW(A),180,1038,乱打、縦連打、デニム、ラス殺し、HARD核地雷,

14,snow storm(A),145,1409,大階段,

13,So Fabulous !!(A),149,1191,同時押し、中盤発狂,

28,So Punky(A),140,1297,,

15,soldier's waltz(A),186,1264,CN,HV復活曲 譜面変更

17,SOLID STATE SQUAD(H),155,1188,皿絡み、トリル、HARD地雷,

28,SOLID STATE SQUAD -RISEN RELIC REMIX-(H),186,1177,,召しませ！BISTROVER Europeエリア

